ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,AmtLiq,AmtVege,AmtNonVeg,AmtPes,AmtChocolates,AmtComm,NumDeals,NumWebBuy,NumWalkinPur,NumVisits,Response,Complain,Country,Count_success,Age
8299,1990,PhD,Single,33996,0,0,11/09/2013,46,40,2,15,8,0,6,1,1,3,4,0,0,SA,0,24
6071,1990,Graduation,Single,81217,0,0,19/07/2013,77,493,70,324,146,40,84,1,3,11,1,0,0,SP,0,24
5012,1990,Graduation,Married,28691,1,0,04/07/2013,56,5,4,13,8,0,4,1,1,3,8,0,0,SP,0,24
9422,1990,Graduation,Married,38360,1,0,31/05/2013,26,36,2,42,20,21,10,2,2,4,3,0,0,AUS,0,24
5602,1990,PhD,Together,66973,0,0,17/05/2013,98,466,22,432,147,113,102,1,8,12,3,0,0,IND,0,24
1031,1990,2n Cycle,Married,85710,0,0,05/05/2013,5,600,20,350,29,30,33,1,6,10,2,0,0,IND,1,24
6516,1990,Basic,Married,17487,1,0,18/03/2013,37,0,0,1,7,4,6,1,1,2,7,0,0,AUS,0,24
523,1990,Graduation,Married,37155,1,0,31/01/2013,51,23,0,26,7,15,3,1,2,4,5,0,0,SP,0,24
4459,1990,Graduation,Single,30279,1,0,30/12/2012,13,10,4,14,4,4,1,1,1,3,8,0,0,SP,0,24
5692,1990,Basic,Married,25443,1,0,22/12/2012,82,1,4,3,8,9,7,1,1,3,8,0,0,SA,0,24
4324,1990,Graduation,Married,42387,1,0,29/10/2012,42,235,0,235,19,4,191,5,8,7,8,0,0,SP,0,24
4271,1990,2n Cycle,Together,38683,1,0,04/10/2012,80,46,35,69,84,41,66,6,4,6,7,0,0,IND,0,24
9081,1989,Graduation,Single,20518,1,0,18/05/2014,58,4,1,6,4,1,9,1,1,2,5,0,0,SP,0,25
92,1989,Graduation,Single,34176,1,0,12/05/2014,12,5,7,24,19,14,20,4,3,4,6,0,0,CA,0,25
3312,1989,Graduation,Single,34176,1,0,12/05/2014,12,5,7,24,19,14,20,4,3,4,6,0,0,IND,0,25
3559,1989,2n Cycle,Married,16248,1,0,10/05/2014,77,12,11,10,3,12,9,3,2,3,6,0,0,IND,0,25
8029,1989,Master,Single,90247,0,0,29/04/2014,27,1184,32,352,21,16,16,1,3,7,1,1,0,US,3,25
7437,1989,Graduation,Single,27938,1,0,28/04/2014,31,13,0,8,2,1,5,1,1,4,3,0,0,AUS,0,25
1717,1989,Graduation,Single,39747,1,0,13/04/2014,43,80,15,93,20,13,52,3,5,4,8,0,0,SA,0,25
1755,1989,2n Cycle,Together,45204,1,0,11/04/2014,93,30,11,25,29,1,18,1,1,4,3,0,0,SA,0,25
10981,1989,Graduation,Married,84219,0,0,02/02/2014,27,434,137,400,45,137,45,1,3,10,1,0,0,SA,0,25
486,1989,Graduation,Married,84219,0,0,02/02/2014,27,434,137,400,45,137,45,1,3,10,1,0,0,CA,0,25
5010,1989,Graduation,Single,25008,1,0,02/02/2014,72,2,8,8,6,1,9,2,1,3,8,0,0,SP,0,25
5176,1989,Graduation,Together,29604,1,0,08/12/2013,88,7,6,13,7,6,14,1,1,3,9,0,0,SA,1,25
6637,1989,Graduation,Single,66951,0,0,02/11/2013,46,277,162,305,173,76,124,1,3,7,1,0,0,IND,0,25
6406,1989,Master,Married,78285,0,0,28/10/2013,13,647,107,391,175,67,40,1,6,10,3,0,0,GER,0,25
1763,1989,Graduation,Together,87679,0,0,27/07/2013,62,1259,172,815,97,148,33,1,7,10,4,1,0,CA,3,25
1324,1989,Graduation,Married,38872,1,0,30/05/2013,93,23,3,21,3,19,22,2,3,3,8,0,0,IND,0,25
9701,1989,Graduation,Together,41883,1,0,19/03/2013,13,32,34,41,73,16,116,3,4,3,7,0,0,CA,0,25
2874,1989,2n Cycle,Divorced,35388,1,0,07/03/2013,20,6,4,7,4,3,8,1,1,3,7,0,0,SA,0,25
6318,1989,Graduation,Married,68487,0,0,13/01/2013,48,758,12,385,33,89,89,1,9,13,4,0,0,CA,0,25
5396,1989,Graduation,Married,68487,0,0,13/01/2013,48,758,12,385,33,89,89,1,9,13,4,0,0,AUS,0,25
10995,1989,2n Cycle,Married,15716,1,0,12/11/2012,8,16,5,30,8,7,26,3,3,4,8,0,1,SA,0,25
9530,1989,Graduation,Married,24645,1,0,01/11/2012,16,5,3,4,4,1,0,1,1,2,8,0,0,SA,0,25
9771,1989,2n Cycle,Single,23331,1,0,05/10/2012,97,104,20,101,24,15,5,6,5,5,9,0,0,IND,0,25
3745,1989,2n Cycle,Married,23331,1,0,04/09/2012,92,5,36,7,0,10,45,2,3,3,8,0,0,IND,0,25
8867,1989,PhD,Married,67546,0,0,31/08/2012,90,864,134,768,150,38,172,1,4,5,3,0,0,SA,0,25
2747,1989,PhD,Married,67546,0,0,31/08/2012,90,864,134,768,150,38,172,1,4,5,3,0,0,SP,0,25
10069,1989,Basic,Together,13724,1,0,31/08/2012,43,2,7,5,2,15,27,1,2,2,9,0,0,SA,1,25
10172,1989,Graduation,Single,68655,0,0,10/08/2012,95,456,19,832,75,118,38,1,4,11,3,0,0,SP,0,25
6729,1989,Graduation,Single,68655,0,0,10/08/2012,95,456,19,832,75,118,38,1,4,11,3,0,0,SA,0,25
940,1988,Graduation,Single,57100,1,0,18/05/2014,9,158,11,99,15,11,17,2,3,7,3,0,0,SA,0,26
5896,1988,Master,Married,73395,0,0,18/03/2014,94,272,7,80,20,7,11,1,4,6,2,0,0,SP,0,26
2532,1988,Master,Single,73454,0,0,01/03/2014,95,982,73,351,56,14,175,1,2,6,5,0,0,SP,1,26
535,1988,Graduation,Divorced,81361,0,0,25/02/2014,18,163,23,424,27,65,76,1,3,13,1,0,0,GER,0,26
4608,1988,Graduation,Divorced,81361,0,0,25/02/2014,18,163,23,424,27,65,76,1,3,13,1,1,0,SA,0,26
830,1988,PhD,Single,74004,0,0,24/02/2014,5,784,48,560,42,176,48,1,4,4,3,1,0,IND,2,26
9612,1988,2n Cycle,Single,23830,0,0,07/02/2014,3,1,8,6,4,8,16,1,1,3,7,0,0,SP,0,26
2612,1988,Graduation,Married,75794,0,0,24/12/2013,33,754,160,625,63,32,48,1,7,12,3,0,0,SA,1,26
5286,1988,Master,Single,41020,0,0,28/10/2013,68,112,1,54,7,7,36,1,3,4,3,0,0,CA,0,26
7962,1988,PhD,Single,95169,0,0,09/10/2013,1,1285,21,449,106,20,20,1,4,4,1,1,0,SP,2,26
6859,1988,Graduation,Single,29236,1,0,08/10/2013,30,37,4,24,16,9,9,2,4,3,9,0,0,SP,0,26
1987,1988,Basic,Single,21063,1,0,25/09/2013,34,1,10,11,19,3,15,2,2,3,6,0,0,SP,0,26
6365,1988,2n Cycle,Married,30390,0,0,02/09/2013,5,10,12,12,25,1,20,1,2,3,6,0,0,IND,0,26
6349,1988,Master,Divorced,61787,0,0,06/07/2013,71,621,73,414,78,48,85,1,8,6,5,0,0,SP,0,26
11013,1988,Graduation,Together,67605,0,0,31/03/2013,84,336,28,282,184,54,54,1,2,6,1,0,0,SP,0,26
5527,1988,Graduation,Together,22434,1,0,13/02/2013,25,4,12,11,3,13,15,2,2,3,8,0,0,SP,0,26
3628,1988,Basic,Single,15038,1,0,29/01/2013,93,4,8,11,19,12,26,2,2,2,9,0,0,SP,0,26
1162,1988,PhD,Single,42000,0,0,10/01/2013,23,124,83,267,85,59,35,2,5,11,5,1,0,SP,0,26
10643,1988,PhD,Single,42000,0,0,10/01/2013,23,124,83,267,85,59,35,2,5,11,5,1,0,AUS,0,26
9553,1988,Graduation,Married,7500,0,0,09/01/2013,94,0,2,3,4,1,5,1,0,3,6,0,0,IND,0,26
798,1988,Graduation,Single,23442,1,0,24/12/2012,71,2,0,6,8,6,5,1,1,3,7,0,0,SP,0,26
8369,1988,Graduation,Together,18227,1,0,08/11/2012,21,1,2,7,4,3,11,1,0,2,8,0,0,SP,0,26
2569,1988,Graduation,Married,17323,0,0,10/10/2012,38,3,14,17,6,1,5,1,1,3,8,0,0,US,0,26
3202,1988,PhD,Married,51563,0,0,01/10/2012,60,1166,0,48,0,0,36,1,4,10,8,0,0,SA,2,26
35,1988,Graduation,Married,25545,1,0,08/09/2012,35,32,1,64,16,12,85,3,2,3,6,1,0,SP,0,26
1911,1988,Graduation,Together,67430,0,0,05/09/2012,6,595,97,291,127,133,121,1,11,12,6,0,0,GER,0,26
7422,1988,Graduation,Single,46923,1,0,22/08/2012,90,85,44,54,102,78,6,3,5,7,7,0,0,SP,0,26
477,1987,Graduation,Married,83512,0,0,17/06/2014,31,1060,61,835,80,20,101,1,4,10,1,1,0,SP,4,27
8931,1987,Graduation,Together,83033,1,0,18/05/2014,82,812,99,431,237,149,33,1,11,10,5,0,0,SA,1,27
9264,1987,Graduation,Married,79529,0,0,27/04/2014,1,423,42,706,73,197,197,1,4,9,2,0,0,CA,0,27
1340,1987,Graduation,Married,92910,0,0,24/04/2014,42,551,137,792,179,103,33,1,6,13,1,0,0,SP,3,27
9485,1987,PhD,Married,45921,0,0,10/03/2014,23,102,9,49,24,3,12,1,2,6,4,0,0,SA,0,27
3726,1987,PhD,Together,34320,1,0,16/02/2014,66,4,1,9,3,0,0,1,1,2,8,0,0,SA,0,27
10680,1987,Graduation,Together,33235,1,0,05/02/2014,71,45,0,16,2,1,6,1,3,3,7,0,0,SP,0,27
11191,1987,Graduation,Divorced,41411,0,0,07/12/2013,11,37,32,38,11,3,18,1,2,4,6,0,0,SP,0,27
6303,1987,PhD,Together,91820,0,0,23/11/2013,72,410,73,747,76,161,30,0,5,12,1,0,0,CA,0,27
8135,1987,Master,Married,27161,1,0,28/10/2013,41,7,4,23,7,0,11,1,1,3,7,0,0,SA,0,27
905,1987,Graduation,Divorced,21846,1,0,22/10/2013,38,7,17,18,6,10,26,4,4,3,8,0,0,SA,0,27
898,1987,Graduation,Married,23477,1,0,21/10/2013,39,38,15,54,3,8,29,3,3,4,8,0,0,SP,0,27
4259,1987,Master,Single,19485,2,0,24/09/2013,80,6,0,4,0,0,0,1,1,2,7,0,0,IND,0,27
4328,1987,2n Cycle,Married,21955,1,0,07/09/2013,81,5,1,7,17,14,11,2,2,3,6,0,0,SP,0,27
1545,1987,Graduation,Married,38508,1,0,02/08/2013,95,120,19,206,25,19,54,6,7,5,8,0,0,SP,0,27
6287,1987,Graduation,Together,34728,1,0,30/07/2013,2,14,0,16,0,0,6,1,1,2,6,1,0,SP,0,27
1940,1987,Graduation,Married,25252,1,0,12/07/2013,26,1,3,4,2,2,6,1,1,2,8,0,0,AUS,0,27
5074,1987,Master,Married,28072,1,0,08/07/2013,10,30,0,10,2,0,5,1,1,3,7,0,0,CA,0,27
7325,1987,PhD,Together,38197,1,0,29/06/2013,86,23,0,11,2,1,3,1,1,3,5,0,0,SP,0,27
3762,1987,PhD,Single,69867,0,0,02/04/2013,30,196,0,512,33,130,54,1,3,8,1,1,0,SA,1,27
6292,1987,PhD,Married,82333,0,0,30/03/2013,60,1311,0,359,46,89,17,1,4,10,2,1,0,GER,1,27
5302,1987,Graduation,Together,78394,0,0,15/02/2013,13,298,27,697,216,24,166,1,4,5,2,1,0,SP,0,27
3657,1987,Graduation,Single,39146,1,0,14/02/2013,1,94,1,33,13,12,12,3,4,4,8,0,0,SP,0,27
7786,1987,PhD,Single,29999,1,0,13/02/2013,22,68,7,59,10,5,11,4,3,4,8,0,0,SP,0,27
456,1987,2n Cycle,Married,7500,1,0,07/02/2013,96,1,11,5,4,6,9,2,2,3,8,0,0,SP,0,27
2518,1987,2n Cycle,Together,20491,0,0,25/01/2013,16,5,4,5,4,2,10,1,0,2,7,0,0,GER,0,27
9738,1987,Master,Together,42386,1,0,13/01/2013,43,65,4,16,0,4,11,1,3,3,8,0,0,SA,0,27
10212,1987,Master,Together,42386,1,0,13/01/2013,43,65,4,16,0,4,11,1,3,3,8,0,0,IND,0,27
3690,1987,Master,Married,80141,0,0,11/01/2013,20,1184,102,673,52,40,40,1,7,10,6,1,0,SP,1,27
175,1987,Graduation,Married,71952,1,0,10/01/2013,93,656,80,455,52,107,93,2,8,8,4,0,0,SP,2,27
6988,1987,Graduation,Married,71952,1,0,10/01/2013,93,656,80,455,52,107,93,2,8,8,4,0,0,AUS,2,27
7141,1987,Master,Single,21888,1,0,29/12/2012,15,88,10,46,2,3,64,4,5,2,10,1,0,SP,0,27
8700,1987,Basic,Single,14906,0,0,22/12/2012,86,7,7,14,7,16,15,3,2,3,7,0,0,SA,0,27
2258,1987,Graduation,Married,32880,1,0,04/12/2012,76,8,4,15,7,6,2,1,1,3,8,0,0,SP,0,27
10245,1987,2n Cycle,Single,80910,0,0,31/10/2012,71,160,80,369,67,39,41,1,3,8,1,0,0,SP,0,27
4211,1987,Basic,Married,20425,1,0,29/10/2012,5,4,12,5,3,16,17,2,2,3,7,0,0,CA,0,27
1407,1987,Basic,Married,20425,1,0,29/10/2012,5,4,12,5,3,16,17,2,2,3,7,0,0,GER,0,27
7736,1987,Graduation,Married,22518,1,0,22/10/2012,36,11,7,12,2,2,27,2,2,2,5,1,0,SP,1,27
10525,1987,Graduation,Single,26576,1,0,13/10/2012,40,10,0,8,0,0,9,1,1,2,9,1,0,SP,1,27
10395,1987,Basic,Single,8940,1,0,22/08/2012,25,1,45,3,4,6,42,3,3,3,8,0,0,SP,0,27
8080,1987,Graduation,Single,26816,0,0,17/08/2012,50,5,1,6,3,4,3,1,0,3,4,0,0,IND,0,27
10699,1986,Graduation,Married,44322,1,0,16/06/2014,30,46,0,40,3,0,3,2,3,3,8,0,0,SA,0,28
7679,1986,PhD,Single,30298,0,0,19/05/2014,48,6,3,12,6,1,0,1,1,3,3,0,0,SP,0,28
1878,1986,2n Cycle,Married,23148,0,0,18/02/2014,83,4,6,8,6,3,10,1,2,3,7,0,0,SP,0,28
9349,1986,Graduation,Married,92533,0,0,19/12/2013,84,693,21,118,110,147,42,1,6,11,2,0,0,GER,2,28
9543,1986,Graduation,Married,19986,1,0,14/11/2013,74,3,6,5,0,2,6,1,0,3,7,0,0,SP,0,28
2894,1986,Graduation,Single,72903,0,0,29/10/2013,74,1067,138,750,0,19,39,1,7,8,4,1,0,SP,3,28
6340,1986,Graduation,Single,29938,1,0,27/10/2013,52,3,3,7,0,2,11,2,1,3,6,0,0,SA,0,28
8442,1986,Master,Married,19510,2,0,04/09/2013,63,9,0,7,3,4,7,2,1,3,7,0,0,CA,0,28
6770,1986,Graduation,Married,21355,1,0,20/08/2013,5,5,13,14,0,5,31,2,2,2,6,1,0,US,1,28
2292,1986,Graduation,Single,22327,1,0,02/08/2013,94,5,4,8,2,0,5,1,1,3,5,0,0,SP,0,28
8143,1986,PhD,Single,37929,0,0,30/07/2013,49,202,2,46,3,2,10,2,4,5,7,1,0,SP,2,28
6437,1986,2n Cycle,Single,41473,1,0,19/06/2013,80,21,8,20,15,3,9,1,2,3,7,0,0,SP,0,28
8779,1986,2n Cycle,Married,36145,1,0,16/06/2013,13,56,4,76,17,1,18,4,4,3,9,1,0,US,1,28
6177,1986,PhD,Married,33454,1,0,08/05/2013,32,76,10,56,3,1,23,2,4,4,8,0,0,US,0,28
0,1986,Graduation,Married,70951,0,0,04/05/2013,66,239,10,554,254,87,54,1,3,9,1,0,0,SA,0,28
503,1986,Master,Married,20559,1,0,12/03/2013,88,13,1,29,3,0,7,2,2,3,8,0,0,AUS,0,28
425,1986,Graduation,Married,55357,2,0,19/02/2013,66,374,64,116,84,25,64,3,6,11,5,0,0,IND,0,28
10790,1986,PhD,Married,18169,1,0,19/02/2013,40,9,0,5,0,0,7,1,1,2,8,0,0,SP,0,28
5790,1986,Graduation,Married,31158,1,0,27/01/2013,62,25,6,16,20,0,5,2,2,3,8,0,0,SP,0,28
8977,1986,Basic,Single,16581,0,0,12/01/2013,51,1,3,4,2,3,11,1,0,3,4,0,0,SP,0,28
2278,1986,2n Cycle,Single,33812,1,0,03/11/2012,86,4,17,19,30,24,39,2,2,3,6,0,0,US,0,28
9246,1986,Master,Together,40101,1,0,14/10/2012,73,171,3,129,26,24,62,4,6,6,7,0,0,IND,0,28
7290,1986,Graduation,Single,70596,0,0,05/10/2012,68,347,44,534,17,0,26,1,3,12,2,0,0,SP,0,28
521,1986,Graduation,Together,54006,1,0,18/09/2012,42,174,77,203,6,24,97,2,8,7,7,0,0,SP,0,28
3332,1986,Graduation,Single,29760,1,0,29/08/2012,87,64,4,68,7,5,17,4,3,4,8,0,0,GER,0,28
7433,1986,Graduation,Single,29760,1,0,29/08/2012,87,64,4,68,7,5,17,4,3,4,8,0,0,SP,0,28
6728,1986,Graduation,Together,29103,1,0,27/08/2012,38,16,0,17,6,3,6,2,1,3,9,0,0,SP,0,28
5140,1986,PhD,Married,64355,1,0,24/08/2012,66,1047,0,140,67,38,153,2,4,12,8,0,0,SP,0,28
9478,1986,Graduation,Single,66503,1,0,14/08/2012,30,91,64,128,65,3,50,2,4,6,3,0,0,SP,0,28
10001,1986,2n Cycle,Together,7500,1,0,01/08/2012,98,5,17,17,13,14,34,4,2,3,9,0,0,SP,0,28
4329,1985,PhD,Married,18988,1,0,23/05/2014,43,6,0,6,2,1,1,2,1,3,7,0,0,AUS,0,29
9467,1985,Graduation,Single,34738,1,0,11/05/2014,51,3,2,10,3,0,2,1,1,3,6,0,0,SP,0,29
10413,1985,Graduation,Married,72570,0,0,25/04/2014,67,274,83,216,151,141,224,1,4,12,1,0,0,SP,0,29
5680,1985,2n Cycle,Married,35684,1,0,22/04/2014,66,10,4,7,0,6,3,1,1,3,6,0,0,SP,0,29
10500,1985,Graduation,Married,31761,1,0,05/04/2014,96,19,1,20,16,14,28,2,3,4,5,0,0,AUS,0,29
6646,1985,Graduation,Together,16529,1,0,01/03/2014,23,3,0,5,13,0,1,1,1,3,6,0,0,CA,0,29
6182,1985,Graduation,Together,26646,1,0,10/02/2014,26,11,4,20,10,3,5,2,2,4,6,0,0,US,0,29
1139,1985,PhD,Married,73356,0,0,06/02/2014,56,1050,14,322,0,14,112,1,5,5,2,1,0,SP,3,29
8749,1985,Graduation,Together,37235,1,0,01/02/2014,68,20,2,9,4,6,20,1,1,2,4,0,0,SP,0,29
10796,1985,Master,Married,30477,1,0,22/01/2014,16,47,1,6,0,0,12,1,1,3,6,0,0,IND,0,29
11086,1985,Basic,Single,25707,1,0,18/01/2014,18,1,6,2,3,6,3,1,1,3,7,0,0,SP,0,29
8182,1985,Graduation,Married,23228,1,0,05/01/2014,91,53,3,49,7,4,5,4,3,4,8,0,0,CA,0,29
9491,1985,Graduation,Together,23976,1,0,27/12/2013,68,14,1,21,2,3,25,3,3,3,7,0,0,SA,0,29
10394,1985,Graduation,Married,90000,0,0,23/12/2013,91,675,144,133,94,192,241,1,4,5,1,0,0,CA,3,29
