ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,AmtLiq,AmtVege,AmtNonVeg,AmtPes,AmtChocolates,AmtComm,NumDeals,NumWebBuy,NumWalkinPur,NumVisits,Response,Complain,Country,Count_success
3657,1987,GRADUATION,sINgLE,"$39,146.00",1,0,14/02/2013,1,94,1,33,13,12,12,3,4,4,8,0,0,sp,0
5740,1971,2N CyCLe,divoRcED,"$25,959.00",1,1,"February 14, 2013",1,4,2,12,7,5,26,2,1,2,6,1,0,sp,0
9595,1962,Graduation,tOGETHER,"$64,260.00",0,0,"11 Jan, 13",1,539,169,816,20,0,30,1,4,4,3,1,0,sp,0
3158,1974,GRADUATION,MARRIED,"USD 32,300.00",1,0,03/01/2013,1,13,3,6,6,5,6,1,1,3,8,0,0,Sp,0
5114,1966,mASTER,mARRIED,"$74,806.00",0,1,2012.12.19,1,670,9,249,0,28,9,2,5,5,4,0,0,aus,0
340,1971,graduation,divorced,"$72,967.00",0,1,15/12/2012,1,158,35,179,0,0,125,2,7,8,5,1,0,ger,1
8805,1961,gRADUATION,sINGLE,"$48,904.00",0,1,02/12/2012,1,283,10,38,0,13,27,4,7,4,8,0,0,us,0
1241,1985,2N CYCLE,marRIED,"$14,796.00",1,0,09-17-2012,1,13,3,8,7,4,16,2,1,3,9,1,0,ger,0
1402,1955,mASTER,MARRIED,"$66,991.00",0,0,2012.09.11,1,496,36,460,189,60,12,3,4,6,3,0,0,ger,0
7264,1979,2N CYCLE,sINGLE,"$52,195.00",2,1,2014.05.12,2,12,0,4,0,0,1,1,1,2,8,0,0,sa,0
1619,1957,GRADUATION,mARRieD,"$90,369.00",0,0,"April 28, 2014",2,292,51,981,224,23,17,1,4,6,1,1,0,SP,0
6398,1975,bASIC,MARRIED,"$18,393.00",1,0,03-29-2014,2,7,10,13,16,0,4,2,3,3,8,0,0,sp,0
1857,1953,graduation,Single,"$47,139.00",1,1,2014.03.06,2,46,0,12,0,2,23,2,2,2,7,1,0,sP,0
4877,1974,masTeR,MarRIED,"USD 38,576.00",0,1,"March 04, 2014",2,34,0,7,0,0,0,1,1,3,7,0,0,INd,0
3066,1976,PhD,Together,"$61,905.00",0,1,"04 Feb, 14",2,167,0,43,6,2,13,2,4,4,5,0,0,sa,0
10286,1963,gRADUATION,Married,"$83,715.00",0,0,"February 03, 2014",2,318,8,407,150,35,8,1,2,13,0,0,0,SA,0
1992,1965,gRADUATION,MARRIED,"$60,597.00",0,1,01/01/14,2,522,0,257,32,16,66,4,2,8,7,1,0,SP,1
4246,1983,MAstER,sINGLE,"$6,560.00  ",0,0,12/12/2013,2,67,11,26,4,3,262,0,1,1,17,0,0,sp,0
10623,1962,mASTER,tOGETHER,"$48,330.00",0,1,"November 15, 2013",2,28,0,4,0,0,0,1,1,3,5,0,0,sP,0
4867,1969,Phd,sInGLE,"$38,236.00",1,1,09-20-2013,2,58,0,18,2,0,10,4,3,4,7,0,0,SP,0
3112,1978,mASTER,Married,"$22,701.00",1,0,"September 05, 2013",2,2,4,9,0,4,5,1,1,3,5,0,0,Sp,0
4865,1975,master,Divorced,"$53,367.00",1,1,"August 31, 2013",2,229,7,140,10,3,11,7,5,8,7,1,0,AUS,0
6287,1987,gRADUaTIOn,TOGETHER,"$34,728.00  ",1,0,07/30/13,2,14,0,16,0,0,6,1,1,2,6,1,0,Sp,0
4405,1957,master,MARRIED,"$63,915.00",0,2,"July 30, 2013",2,622,7,115,30,0,15,2,6,12,5,0,0,AUS,0
5332,1961,2N CYcle,married,"$82,504.00  ",0,0,07-27-2013,2,362,50,431,134,35,54,1,3,7,1,0,0,IND,0
1519,1973,pHd,SINGLE,"$38,578.00",1,1,06-22-2013,2,38,4,22,3,3,3,3,3,3,8,1,0,SP,0
9080,1973,PHd,single,"$38,578.00",1,1,06/22/13,2,38,4,22,3,3,3,3,3,3,8,0,0,SP,0
1772,1976,pHd,Married,"USD 79,174.00",0,0,01/11/13,2,1074,37,518,193,92,129,1,5,7,2,1,0,Ca,2
5341,1963,2N cYCLE,Divorced,"$81,975.00  ",0,1,05/01/2013,2,983,76,184,180,138,27,1,6,4,7,0,0,sa,1
5510,1978,Master,married,"$43,263.00",0,1,21/11/2012,2,262,6,61,0,10,102,3,5,6,5,0,0,SP,0
3887,1971,Graduation,sINGlE,"$27,242.00",1,0,"11 Nov, 12",2,3,17,26,20,1,39,2,2,3,9,1,0,INd,0
7022,1972,GRADUATION,Married,"$76,445.00",1,0,09/28/12,2,739,107,309,140,80,35,1,2,13,6,0,0,sa,0
9999,1966,GRAdUATiOn,together,"$75,276.00",0,0,"September 27, 2012",2,610,105,125,137,42,21,1,9,9,5,0,0,sp,0
10352,1964,graduation,widow,"USD 34,213.00",1,1,07/09/2012,2,50,4,28,6,3,26,3,3,2,9,1,0,sa,0
7919,1977,phd,tOGETHER,"$72,335.00",0,0,13/08/2012,2,1285,105,653,28,21,0,1,10,8,8,1,0,Sp,0
4114,1965,mAsteR,mArRiED,"$79,143.00",0,0,11/08/2012,2,650,37,780,27,167,32,1,6,13,3,0,0,aus,0
7990,1948,gRADUATION,Married,"$27,469.00",0,0,08/02/12,2,9,1,2,3,2,0,1,0,3,6,0,0,ca,0
9888,1970,graduation,TOGETHER,"$68,695.00",0,0,25/06/2014,3,458,81,356,106,50,40,1,4,7,2,0,0,sp,0
4399,1970,graduation,Together,"$68,695.00  ",0,0,25/06/2014,3,458,81,356,106,50,40,1,4,7,2,0,0,CA,0
4452,1958,GRADUATION,SINGLE,"$50,388.00  ",0,1,28/05/2014,3,292,6,37,0,3,34,4,6,6,7,1,0,ger,2
4785,1971,PHD,TOGETHER,"$77,622.00",0,2,04-14-2014,3,520,7,154,19,0,14,2,6,11,3,0,0,sa,0
8461,1963,Graduation,Divorced,"$46,102.00",2,1,03/10/14,3,14,0,1,0,0,1,1,1,2,7,0,0,sp,0
3878,1981,2n cycle,SINGLE,"$31,859.00",1,0,02/27/14,3,3,4,7,15,8,11,1,1,3,7,0,0,sp,0
9612,1988,2N cYCLE,SINGLE,"$23,830.00",0,0,"07 Feb, 14",3,1,8,6,4,8,16,1,1,3,7,0,0,Sp,0
4098,1974,GRADUATION,mARRIED,"$24,639.00  ",1,1,"28 Jan, 14",3,20,3,16,0,4,1,3,2,4,6,0,0,aus,0
158,1946,Phd,together,"$71,604.00",0,0,11-17-2013,3,345,53,528,98,75,97,1,8,5,4,1,0,SP,1
3896,1985,Graduation,MarriEd,"$27,255.00",1,0,"November 07, 2013",3,22,1,11,0,1,2,1,1,3,7,0,0,Sp,0
9970,1978,GRADUATION,tOGETHER,"$55,375.00  ",0,1,10/17/13,3,42,11,57,10,28,14,1,1,6,2,0,0,ca,0
4002,1961,PHD,mARRIED,"$77,037.00",0,1,2013.10.13,3,463,96,333,168,53,10,1,7,12,3,0,0,sp,0
10914,1971,graduation,single,"$24,163.00",1,1,2013.10.12,3,4,1,7,2,1,2,2,1,3,4,0,0,sp,0
7279,1970,Phd,TOGethEr,"$69,476.00  ",0,0,"September 30, 2013",3,260,86,559,63,9,67,1,4,4,2,0,0,US,0
10582,1980,gRADUATION,mARRIED,"$72,063.00  ",0,1,03/07/2013,3,180,32,348,76,32,90,2,5,12,2,0,0,GER,0
4470,1963,MASTER,MARRIED,"$58,646.00",0,1,06/10/13,3,62,1,44,6,5,22,1,2,4,4,0,0,Sp,0
6183,1963,Master,married,"$58,646.00",0,1,06/10/13,3,62,1,44,6,5,22,1,2,4,4,0,0,ger,0
6379,1950,master,widow,"$47,570.00",1,1,05-29-2013,3,67,1,20,0,2,31,3,2,2,7,1,0,US,0
8601,1981,gRADUATION,MARRIED,"USD 80,011.00",0,1,2013.04.29,3,421,76,536,82,178,102,2,8,5,4,0,0,Aus,0
4827,1957,pHd,sINGlE,"$54,998.00  ",0,1,"10 Mar, 13",3,154,22,202,39,30,8,5,4,9,4,1,0,sp,0
6715,1949,phd,SinGLE,"$60,200.00",0,1,02/01/2013,3,502,19,132,0,6,26,6,6,11,6,0,0,sp,0
10676,1983,graduation,mARRIED,"$63,211.00",0,0,02/11/2012,3,145,193,459,205,26,145,2,3,7,2,1,0,Sp,0
1041,1974,PHD,sINGLE,"$48,432.00",0,1,2012.10.18,3,322,3,50,4,3,42,5,7,6,8,1,0,sa,0
492,1974,phd,yolo,"$48,432.00",0,1,2012.10.18,3,322,3,50,4,3,42,5,7,6,8,0,0,ca,0
11133,1974,pHd,Yolo,"$48,432.00",0,1,10/18/12,3,322,3,50,4,3,42,5,7,6,8,1,0,ind,0
4491,1950,master,mARRiEd,"$62,845.00",1,1,"October 01, 2012",3,1099,0,45,0,0,34,11,3,10,8,0,0,sp,1
873,1950,Master,mArrIED,"$62,845.00  ",1,1,10-01-2012,3,1099,0,45,0,0,34,11,3,10,8,1,0,Sp,1
1631,1966,pHd,tOGETHER,"$65,220.00",0,0,"03 Sep, 12",3,890,63,292,0,25,12,4,8,7,6,1,0,GER,0
8278,1991,phd,MARRIED,"$74,214.00  ",0,0,08-26-2012,3,863,83,547,86,99,33,1,8,5,5,0,0,sP,0
6815,1981,2N Cycle,married,"$96,547.00",0,0,23/05/2014,4,448,21,125,52,101,62,0,7,8,2,1,0,sp,3
254,1956,gRADUAtiON,TOGETher,"$53,863.00  ",0,1,05/17/14,4,399,4,30,6,4,30,3,7,7,7,0,0,sp,1
1349,1971,Graduation,mARRIED,"$50,447.00",2,0,04/21/14,4,85,7,24,2,3,27,1,3,3,6,0,0,ind,0
2534,1954,gRADUATION,married,"$37,716.00  ",0,1,04-21-2014,4,97,1,41,6,2,41,2,4,3,7,0,0,Aus,0
2130,1983,gRaduaTIOn,tOGETHER,"$45,203.00",2,0,03-23-2014,4,35,3,67,10,8,24,1,3,3,6,1,0,SA,0
2296,1976,Master,MARRIED,"$37,368.00",1,0,12-16-2013,4,3,2,11,2,2,10,1,1,2,6,0,0,SP,1
3799,1956,graduaTiON,MARRIED,"$67,225.00  ",0,1,11/26/13,4,315,35,322,46,7,143,3,7,11,5,0,0,Us,0
11084,1977,mASTER,together,"$65,104.00",0,1,2013.11.14,4,738,0,232,13,20,50,2,3,7,7,1,0,cA,0
5172,1977,maSTEr,tOGETHER,"$65,104.00",0,1,11-14-2013,4,738,0,232,13,20,50,2,3,7,7,0,0,sp,0
9504,1950,MasTER,married,"$81,698.00",0,0,"November 06, 2013",4,179,28,520,111,123,47,1,3,13,1,1,0,sp,0
850,1969,gRaDUAtiOn,SINGLE,"$70,566.00  ",0,1,10-06-2013,4,381,28,215,84,28,21,2,6,9,3,0,0,sp,0
4477,1959,GRADUATION,together,"$69,096.00",0,1,"27 Sep, 13",4,247,49,159,7,82,109,1,5,10,4,0,0,ger,0
1945,1963,gRADUATION,mARRIED,"$71,434.00",0,1,18/09/2013,4,711,36,217,172,96,168,3,7,7,4,0,0,Sp,2
7685,1979,GRADUATION,Married,"$33,039.00",1,0,"09 Sep, 13",4,30,8,12,8,8,12,1,2,4,5,0,0,sp,0
6310,1979,Graduation,MARRIED,"USD 33,039.00",1,0,"09 Sep, 13",4,30,8,12,8,8,12,1,2,4,5,0,0,ca,0
10832,1959,GRaduatioN,togEthEr,"$46,610.00  ",0,0,"18 Jul, 13",4,288,10,30,4,10,125,1,6,6,6,0,0,sp,0
3025,1959,gRaduatIon,siNGle,"$49,967.00",0,1,"08 Jul, 13",4,212,6,69,4,12,3,3,6,5,7,0,0,Ca,0
2404,1977,Graduation,married,"$53,359.00",1,1,"27 May, 13",4,173,4,30,3,6,41,4,5,4,7,0,0,US,0
8581,1972,master,mARRIED,"$49,505.00  ",1,1,03-05-2013,4,604,0,100,19,0,28,9,10,8,8,0,0,sP,0
8755,1947,mASTER,married,"$68,657.00",0,0,02/20/13,4,482,34,471,119,68,22,1,3,9,7,0,0,aus,0
10177,1955,Graduation,Divorced,"$72,071.00",0,1,"February 14, 2013",4,531,69,300,150,138,150,3,5,8,2,0,0,SP,0
2429,1955,graduation,divorced,"$72,071.00",0,1,"14 Feb, 13",4,531,69,300,150,138,150,3,5,8,2,0,0,ca,0
8920,1968,MASteR,single,"$59,235.00  ",1,0,01/12/13,4,448,40,469,80,0,91,3,11,12,7,0,0,IND,0
8430,1958,gRADUATION,tOGETHER,"$21,994.00  ",0,1,"24 Dec, 12",4,9,0,6,3,1,3,1,0,3,5,0,0,aus,0
8619,1958,GRADUATION,together,"$21,994.00  ",0,1,2012.12.24,4,9,0,6,3,1,3,1,0,3,5,0,0,sp,0
7233,1973,GRADUATIon,Married,"$69,209.00",0,0,"17 Sep, 12",4,496,32,849,229,48,128,2,5,6,4,0,0,ca,1
6678,1990,gRADUATION,TOGETHER,"$31,928.00",1,0,"March 28, 2014",5,33,4,24,4,2,5,2,3,4,7,0,0,inD,0
830,1988,PHD,single,"$74,004.00",0,0,02/24/14,5,784,48,560,42,176,48,1,4,4,3,1,0,Ind,2
6365,1988,2N Cycle,MARRIED,"$30,390.00  ",0,0,02/09/2013,5,10,12,12,25,1,20,1,2,3,6,0,0,Ind,0
6770,1986,graduation,married,"$21,355.00  ",1,0,2013.08.20,5,5,13,14,0,5,31,2,2,2,6,1,0,us,1
2261,1970,GRAduAtioN,Married,"$26,304.00",1,0,06-23-2013,5,4,1,5,2,0,4,1,1,2,7,0,0,Ger,0
1031,1990,2N CYCLE,Married,"$85,710.00  ",0,0,2013.05.05,5,600,20,350,29,30,33,1,6,10,2,0,0,ind,1
10089,1975,gRADUATION,DiVORCed,"$102,692.00",0,0,"April 05, 2013",5,168,148,444,32,172,148,1,6,13,2,1,0,sa,4
9256,1972,GRADUATION,single,"$58,350.00",0,1,01/04/13,5,493,26,206,116,80,80,4,8,12,6,0,0,sp,0
10641,1979,graduation,SINGLE,"$7,500.00",1,1,2012.12.27,5,6,5,4,13,4,25,4,2,3,6,0,0,SP,0
624,1985,Master,sINGLE,"USD 18,890.00",0,0,"10 Nov, 12",5,6,4,1,7,2,15,1,0,2,6,1,0,SA,1
4211,1987,bAsiC,Married,"$20,425.00",1,0,"29 Oct, 12",5,4,12,5,3,16,17,2,2,3,7,0,0,Ca,0
1407,1987,BASIC,MARRIED,"$20,425.00",1,0,10-29-2012,5,4,12,5,3,16,17,2,2,3,7,0,0,ger,0
10356,1958,pHd,dIVORCED,"$41,437.00",1,1,09/22/12,5,29,0,2,0,0,1,1,1,3,7,0,0,SP,0
9323,1950,mASTeR,tOGETHER,"$49,912.00",0,1,09-07-2012,5,520,8,223,32,49,42,4,10,7,8,1,0,me,1
1146,1950,master,together,"$49,912.00",0,1,09/07/12,5,520,8,223,32,49,42,4,10,7,8,1,0,aUS,1
6343,1960,graduation,Married,"$79,823.00",0,1,2014.03.31,6,835,73,380,114,73,43,1,6,7,2,0,0,aus,1
8545,1955,Graduation,Divorced,"$85,683.00",0,0,03-21-2014,6,1296,17,311,45,69,51,1,2,10,1,1,0,sp,4
8275,1966,Phd,Divorced,"$47,025.00",1,1,09/02/2014,6,16,0,3,0,0,1,1,1,2,7,0,0,SP,0
10673,1977,PHD,marRiED,"$68,397.00  ",0,1,17/11/2013,6,760,80,466,17,13,80,1,6,5,3,0,0,SA,0
8799,1985,pHD,mARRIED,"$38,175.00",1,0,"September 23, 2013",6,70,6,69,2,3,3,3,3,4,7,0,0,sp,0
67,1973,MASTER,single,"$46,423.00",1,1,18/09/2013,6,68,0,16,0,0,8,3,2,4,7,0,0,sp,0
9923,1973,master,single,"$46,423.00",1,1,2013.09.18,6,68,0,16,0,0,8,3,2,4,7,0,0,Sp,0
2814,1977,Master,TOGETHER,"$30,560.00  ",1,0,06-27-2013,6,9,1,5,4,5,7,1,1,3,7,0,0,sa,0
2711,1977,master,tOGETHER,"$30,560.00",1,0,"June 27, 2013",6,9,1,5,4,5,7,1,1,3,7,0,0,ca,0
4320,1980,GRADUATION,single,"USD 60,152.00",0,1,2013.03.28,6,325,83,300,86,58,91,1,6,12,3,0,0,sp,0
10451,1966,gRaduatiON,ToGetHEr,"$29,672.00",1,1,03-12-2013,6,9,1,3,0,4,8,1,0,3,6,0,0,sa,0
4198,1966,gRAdUATION,tOGethER,"$29,672.00",1,1,03-12-2013,6,9,1,3,0,4,8,1,0,3,6,0,0,Sp,0
10814,1948,Graduation,tOGETHER,"$70,321.00",0,0,"16 Jan, 13",6,303,23,751,82,26,191,1,6,13,4,1,0,Sp,0
944,1963,Graduation,married,"$56,181.00  ",0,1,01/08/13,6,121,103,69,8,44,48,1,4,7,4,0,0,sP,0
8151,1991,bAsIC,MArRieD,"USD 24,279.00",0,0,12-29-2012,6,16,36,21,20,62,108,1,4,3,8,0,0,sp,0
6184,1970,PHD,Married,"$68,462.00  ",0,0,2012.12.12,6,561,64,785,84,128,48,1,3,8,1,0,0,sp,0
3498,1977,phd,married,"$55,424.00  ",0,1,"November 25, 2012",6,462,61,184,10,53,107,4,7,9,6,1,0,sp,1
2870,1974,gRADUATION,Married,"$49,094.00  ",0,1,09-21-2012,6,376,0,38,11,8,69,5,6,6,6,0,0,sp,0
7342,1962,2N CYCLE,wIDOW,"$59,184.00  ",0,1,09-09-2012,6,341,142,113,259,151,66,3,6,12,5,0,0,Sp,0
1911,1988,Graduation,Together,"$67,430.00  ",0,0,09-05-2012,6,595,97,291,127,133,121,1,11,12,6,0,0,ger,0
10862,1961,mastEr,married,"$30,522.00",0,1,17/08/2012,6,179,8,83,19,11,26,5,1,9,2,0,0,Sp,0
2546,1978,2N Cycle,Single,"$31,878.00",0,1,"June 22, 2014",7,23,4,5,10,5,23,1,1,4,3,0,0,SP,0
3005,1993,Graduation,sINGLE,"$83,528.00",0,0,"01 May, 14",7,530,117,678,134,44,147,1,4,8,1,1,0,sP,2
8318,1980,graduation,together,"$90,300.00",0,0,03/01/2014,7,594,134,786,33,134,57,0,5,8,1,0,0,sp,1
2930,1979,master,single,"$68,092.00",0,0,"December 16, 2013",7,852,60,207,78,36,48,2,2,10,5,0,0,SA,0
8216,1973,MASTER,MARRIED,"$53,761.00  ",1,1,"11 Oct, 13",7,158,0,76,13,7,71,6,4,3,5,0,0,AuS,0
1212,1974,GRADUATION,MARRiEd,"$52,845.00",1,0,08-13-2013,7,384,25,292,130,41,64,3,8,6,6,0,0,Sp,1
2541,1977,GRADuATiOn,Married,"$24,027.00",1,0,"09 Jun, 13",7,14,7,11,11,0,5,2,2,3,8,0,0,sp,0
10659,1980,2N CYCLE,Together,"$7,500.00",1,0,2013.05.07,7,2,8,11,3,8,21,4,3,2,7,0,0,Ind,0
10905,1956,graduation,together,"$42,586.00",1,1,10-29-2012,7,194,2,56,0,0,0,5,4,6,8,1,0,Sp,0
8910,1956,graduation,TOGETHER,"$42,586.00",1,1,10/29/12,7,194,2,56,0,0,0,5,4,6,8,1,0,sp,0
7349,1974,Basic,together,"$9,722.00  ",1,0,10-02-2012,7,6,17,16,6,16,42,4,3,3,8,1,0,Sp,0
7872,1976,pHd,marRied,"$86,836.00",0,0,09-12-2012,7,179,21,273,0,21,63,1,6,6,5,1,0,sp,3
4290,1973,GRADUATION,mARrIED,"$30,467.00",1,0,03/19/14,8,1,3,8,2,5,5,1,1,2,7,0,0,ca,0
7408,1953,PHD,Married,"$54,549.00  ",0,1,03/03/2014,8,216,2,6,0,0,9,2,5,4,7,0,0,Sa,0
9986,1983,graduation,Together,"$19,444.00",1,0,02/22/14,8,16,0,23,3,2,10,3,4,2,7,1,0,SA,0
8235,1957,mASTER,TOGETHER,"$69,245.00",0,1,01-24-2014,8,428,30,214,80,30,61,2,6,10,3,0,0,SA,0
10949,1964,Phd,Divorced,"$72,968.00",0,0,2013.12.16,8,1092,37,592,145,37,55,1,5,8,3,1,0,Sp,1
7284,1954,gRadUaTioN,MARRIED,"$48,686.00",1,2,04/12/2013,8,10,0,7,2,0,1,1,1,2,8,0,0,sp,0
9529,1991,GRaduaTION,MARRIED,"$73,687.00",0,0,11-28-2013,8,559,153,503,218,13,181,1,3,9,2,1,0,sa,1
9930,1945,phD,SinGle,"$82,716.00",0,0,05/11/2013,8,606,148,228,15,148,22,1,6,13,2,0,0,CA,0
10270,1982,2N Cycle,MaRried,"USD 35,523.00",1,0,03/10/2013,8,11,5,22,12,5,11,2,3,3,7,0,0,GER,0
760,1976,Phd,dIVORCED,"$60,554.00  ",1,0,08/09/13,8,588,7,76,110,15,15,2,8,9,6,0,0,SA,0
5519,1957,Graduation,together,"$64,090.00  ",0,1,08-07-2013,8,316,58,161,76,51,135,1,6,4,5,1,0,sa,0
232,1966,gRADUATION,SINGLE,"$61,559.00  ",0,1,07/17/13,8,279,83,88,32,14,34,1,4,10,3,0,0,sP,0
3009,1963,pHd,wIDOW,"$71,670.00",0,0,2013.07.09,8,1462,16,128,0,0,160,1,5,6,6,1,0,sp,3
6518,1952,Phd,widow,"$67,680.00  ",0,1,"June 11, 2013",8,546,0,48,0,6,6,1,7,8,5,0,0,aus,0
10669,1982,graduation,MaRRIeD,"$54,386.00",0,1,05-17-2013,8,277,21,64,62,21,25,2,3,10,3,0,0,Sp,0
5682,1954,PHD,sINGLE,"$64,108.00  ",0,1,23/03/2013,8,948,10,86,13,21,21,4,6,11,5,0,0,aUS,0
1570,1952,phd,TOGETHER,"USD 69,702.00",0,1,"February 19, 2013",8,664,9,240,50,19,57,2,7,10,4,0,0,sP,0
1497,1953,GRADUAtIoN,single,"$47,958.00",0,1,"January 19, 2013",8,268,11,88,15,3,22,2,6,5,5,0,0,SA,0
9723,1961,GRADUATION,married,"$67,716.00",0,1,01/10/13,8,530,142,217,62,9,56,4,7,13,5,0,0,ca,1
7261,1972,graduation,tOGETHER,"$34,600.00",1,1,01-01-2013,8,199,33,60,8,3,15,5,5,5,8,1,0,Sp,0
2452,1972,GRADUaTion,Together,"$34,600.00",1,1,01/01/2013,8,199,33,60,8,3,15,5,5,5,8,1,0,sp,0
